Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,3500.000000,3537.500000,3462.500000,3537.500000,3127.402100,25594600
2021-11-11,3500.000000,3562.500000,3500.000000,3512.500000,3105.300049,31442200
2021-11-12,3512.500000,3525.000000,3450.000000,3450.000000,3050.045654,46965800
2021-11-15,3425.000000,3462.500000,3400.000000,3400.000000,3005.842041,49796800
2021-11-16,3400.000000,3475.000000,3375.000000,3437.500000,3038.994629,38494800
2021-11-17,3475.000000,3500.000000,3450.000000,3500.000000,3094.249268,40673800
2021-11-18,3500.000000,3500.000000,3450.000000,3462.500000,3061.096680,21636600
2021-11-19,3475.000000,3525.000000,3462.500000,3512.500000,3105.300049,47973200
2021-11-22,3512.500000,3600.000000,3500.000000,3587.500000,3171.605469,105224000
2021-11-23,3587.500000,3600.000000,3500.000000,3500.000000,3094.249268,64255400
2021-11-24,3537.500000,3562.500000,3512.500000,3537.500000,3127.402100,39856200
2021-11-25,3537.500000,3637.500000,3525.000000,3587.500000,3171.605469,94781000
2021-11-26,3562.500000,3562.500000,3425.000000,3437.500000,3038.994629,136419000
2021-11-29,3437.500000,3512.500000,3375.000000,3475.000000,3072.147461,110182000
2021-11-30,3500.000000,3500.000000,3400.000000,3400.000000,3005.842041,103074800
2021-12-01,3400.000000,3450.000000,3300.000000,3325.000000,2939.536865,102525600
2021-12-02,3325.000000,3437.500000,3275.000000,3412.500000,3016.893066,80505200
2021-12-03,3425.000000,3437.500000,3362.500000,3362.500000,2972.689453,25241800
2021-12-06,3362.500000,3462.500000,3362.500000,3425.000000,3027.943848,53587600
2021-12-07,3450.000000,3525.000000,3425.000000,3525.000000,3116.351074,52704600
2021-12-08,3525.000000,3537.500000,3425.000000,3425.000000,3027.943848,69263600
2021-12-09,3450.000000,3450.000000,3400.000000,3412.500000,3016.893066,22996000
2021-12-10,3400.000000,3425.000000,3375.000000,3387.500000,2994.791260,44792200
2021-12-13,3425.000000,3475.000000,3400.000000,3425.000000,3027.943848,44218400
2021-12-14,3425.000000,3450.000000,3387.500000,3437.500000,3038.994629,28209200
2021-12-15,3425.000000,3487.500000,3412.500000,3437.500000,3038.994629,39056400
2021-12-16,3462.500000,3475.000000,3375.000000,3375.000000,2983.740234,44312200
2021-12-17,3375.000000,3425.000000,3362.500000,3375.000000,2983.740234,46617600
2021-12-20,3375.000000,3387.500000,3325.000000,3362.500000,2972.689453,42364800
2021-12-21,3362.500000,3400.000000,3337.500000,3350.000000,2961.638672,27763600
2021-12-22,3375.000000,3387.500000,3300.000000,3312.500000,2928.485840,36773200
